agno|grado|rbd|dvrbd|nom_rbd|cod_reg_rbd|nom_reg_rbd|cod_pro_rbd|nom_pro_rbd|cod_com_rbd|nom_com_rbd|cod_deprov_rbd|nom_deprov_rbd|cod_depe1|cod_depe2|cod_grupo|cod_rural_rbd|nalu_lect2m_rbd|nalu_mate2m_rbd|prom_lect2m_rbd|prom_mate2m_rbd|dif_lect2m_rbd|dif_mate2m_rbd|difgru_lect2m_rbd|difgru_mate2m_rbd|sigdif_lect2m_rbd|sigdif_mate2m_rbd|siggru_lect2m_rbd|siggru_mate2m_rbd|marca_lect2m_rbd|marca_mate2m_rbd|marcadif_lect2m_rbd|marcadif_mate2m_rbd|palu_eda_ins_lect2m_rbd|palu_eda_ele_lect2m_rbd|palu_eda_ade_lect2m_rbd|palu_eda_ins_mate2m_rbd|palu_eda_ele_mate2m_rbd|palu_eda_ade_mate2m_rbd|noaplica|fecha_bbdd|codigo_bbdd
2022|2m|5574|3|COMPLEJO EDUCACIONAL PADRE LAS CASAS|9|DE LA ARAUCANÍA|91|CAUTÍN|9112|PADRE LAS CASAS|93|Cautin S|3|2|1|1|32|32|211|216|-24|-3|-11|-8|-1|0|-1|0|||||78.1|12.5|9.4|84.4|12.5|3.1|0|20231017|final20231017v2
2022|2m|5590|5|COMPLEJO EDUC. UN AMANECER EN LA ARAUCANIA|9|DE LA ARAUCANÍA|91|CAUTÍN|9101|TEMUCO|92|Cautin N|2|1|2|1|22|26|217|226|0|-38|-17|-12|0|-1|-1|0|||3||72.7|18.2|9.1|76.9|19.2|3.8|0|20231017|final20231017v2
2022|2m|5597|2|COLEGIO ALONSO DE ERCILLA|9|DE LA ARAUCANÍA|91|CAUTÍN|9101|TEMUCO|92|Cautin N|2|1|2|1|8|34|161|207|-65|-21|-73|-31|-1|0|-1|-1||||||||88.2|11.8|0|0|20231017|final20231017v2
2022|2m|56|6|COLEGIO SAN MARCOS DE ARICA|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|151|Arica|3|2|4|1|52|56|265|294|1|3|3|16|0|0|0|1|||||28.8|44.2|26.9|25|37.5|37.5|0|20231017|final20231017v2
2022|2m|5613|8|COMPLEJO EDUCACIONAL LA GRANJA|9|DE LA ARAUCANÍA|91|CAUTÍN|9119|VILCÚN|92|Cautin N|2|1|1|1|58|57|236|211|12|-14|14|-13|1|0|1|-1|||||60.3|36.2|3.4|80.7|17.5|1.8|0|20231017|final20231017v2
2022|2m|565|7|COLEGIO ADVENTISTA LA SERENA|4|DE COQUIMBO|41|ELQUI|4101|LA SERENA|41|Elqui|3|2|3|1|62|63|247|247|-11|-11|-4|-11|0|0|0|-1|||||43.5|38.7|17.7|57.1|34.9|7.9|0|20231017|final20231017v2
2022|2m|5652|9|COLEGIO PROVIDENCIA DE TEMUCO|9|DE LA ARAUCANÍA|91|CAUTÍN|9101|TEMUCO|92|Cautin N|3|2|2|1|71|71|256|233|9|-11|22|-5|0|0|1|0|||||43.7|38|18.3|64.8|28.2|7|0|20231017|final20231017v2
2022|2m|5653|7|LICEO CARLOS CONDELL DE LA HAZA|9|DE LA ARAUCANÍA|91|CAUTÍN|9101|TEMUCO|92|Cautin N|3|2|1|1|76|73|234|220|-10|-10|12|-4|0|0|1|0|||||64.5|32.9|2.6|79.5|20.5|0|0|20231017|final20231017v2
2022|2m|5654|5|INSTITUTO CLARET|9|DE LA ARAUCANÍA|91|CAUTÍN|9101|TEMUCO|92|Cautin N|3|2|3|1|210|214|232|237|-25|-37|-19|-21|-1|-1|-1|-1|||||64.8|26.2|9|61.7|29.9|8.4|0|20231017|final20231017v2
2022|2m|5655|3|LICEO COMERCIAL TEMUCO BICENTENARIO DE EXCELENCIA|9|DE LA ARAUCANÍA|91|CAUTÍN|9101|TEMUCO|92|Cautin N|3|2|2|1|262|264|245|263|-20|-29|11|25|-1|-1|1|1|||||52.7|32.8|14.5|43.2|40.9|15.9|0|20231017|final20231017v2
